晖达新领地东区11栋4单元9楼171A,2,1,25,合租,800.0,zhengdongxinqu
豪华装修！品牌家居！实图实拍，拎包入住看房有钥匙,3,2,140,整租,3600,zhengdongxinqu
中南海知音通泰路商都路红星蚂蚁整租标间便宜正弘山诚工嘉园,1,1,42,整租,1400,zhengdongxinqu
免押金短租月付 龙之湖 太格茂 学府广场 专升本考研上班方便,3,2,23,合租,500,zhengdongxinqu
三户合租 短租月付 全女生 河景房 无中介费 建业五栋,3,2,26,合租,800,zhengdongxinqu
儿童医院院区郑大一附院颐和医院附近，民航花园宝龙广场龙湖里等,3,2,25,合租,699,zhengdongxinqu
月底甩租 郑东商业中心 云悦公馆 商都新城 大空间 有阳台,3,2,38,合租,550,zhengdongxinqu
全女生 中豪汇景湾 可短租月付 东站 绿地之窗 原盛国际,3,2,35,合租,700,zhengdongxinqu
全女生合租 财政金融家属院 朝南带阳台 近地铁口,4,2,35,合租,950,zhengdongxinqu
新芒果和郡 市体育中心地铁口 龙子湖 太格茂 郑州东站可月付,3,2,35,合租,850,zhengdongxinqu
押一付一 全女生合租，无中介费，没有套路，随时看房，拎包入住,3,1,26,合租,750,zhengdongxinqu
新出实拍 特价出租 长通物流园旁 上林苑 主卧独卫  带大飘,3,2,30,合租,500,zhengdongxinqu
近东站绿地双子塔华润新时代广场电子商务二七研究所邮政物流白佛,3,0,85,整租,1700,zhengdongxinqu
房东女儿自住装修！标准一室有暖气，能押一付一！尚书苑海汇中心,1,2,69,整租,2300,zhengdongxinqu
金鹏时代 金水东路地铁口旁 温馨次卧 无杂费 可短租月付,3,2,35,合租,700,zhengdongxinqu
免费暖气黄河南路地铁口炒鸡暖和空间大朝南有厨房可月付无中介费,3,2,45,合租,900,zhengdongxinqu
实拍房源 双周保洁 紧挨 CBD 黄河南路地铁口 怡景嘉园,3,2,28,合租,700,zhengdongxinqu
可短租月付 有厨房可做饭 临CBD 永和伯爵 美盛中心 甩租,3,2,30,合租,500,zhengdongxinqu
短租五个月 朝南大空间 采光好 聚源国际 黄河南路七里河,3,2,30,合租,600,zhengdongxinqu
祭城主卧飘窗 三户合租 可押一付一 短租月付无压力 随时看房,2,1,25,合租,580,zhengdongxinqu
中豪汇景湾 绿地之窗 卫华大厦 绿地新都会 东站旁 拎包入住,3,2,30,合租,900,zhengdongxinqu
温馨次卧 精装修 小区安静 采光好 无杂费拎包入住 随时看房,3,2,30,合租,799,zhengdongxinqu
龙子湖木华博雅广场，建业智慧港，押一付一拎包入住 可短租,2,1,35,合租,800,zhengdongxinqu
海知音！全女生大落地窗！居然之家 通泰路东十里铺商都世贸中心,3,2,25,合租,750,zhengdongxinqu
通泰路地铁口 建业五栋大楼 无中介 可月付 手慢无,3,1,30,合租,600,zhengdongxinqu
宝龙广场建业总部港附近，紧邻儿童医院郑大一附院颐和医院等，,3,2,25,合租,700,zhengdongxinqu
自家房子 可短租押一付一 郑东商业中心地铁口附近 随时看房,3,1,25,合租,550,zhengdongxinqu
大标间 落地窗 全女生 无中介费 通泰路 建业五栋 商都世贸,3,2,20,合租,600,zhengdongxinqu
年前特价出租  可短租年前 免物业 无杂费 押金减半 无线免,3,2,25,合租,700,zhengdongxinqu
急租！！！押金随走随退！免物业！免管理！没有其他杂费！急租！,3,2,35,合租,600,zhengdongxinqu
全女生 三号线四号线 短租到过年 十里铺 建业五栋 印象汇,1,1,20,合租,550,zhengdongxinqu
全女生 楷林ifc 绿地新都会 雅宝东方国际 绿地之窗,3,2,35,合租,780,zhengdongxinqu
绿地新都会 精美次卧楷林IFC心怡路 可押一付一可短租随时住,3,2,23.2,合租,850,zhengdongxinqu
租这个房子一个月省五百！朝南两室有暖气！鑫苑鑫城郑东商业中心,2,2,76.4,整租,2200,zhengdongxinqu
出租 绿地原盛国际 绿地新都会 中豪汇景湾 免押金 可月付,3,2,30,合租,800,zhengdongxinqu
