亚星盛世广场住宅 1室0厅1卫 700.0元 电梯房,1,0,48,整租,700,shangjie
德宝幸福里 2室2厅1卫 1000.0元 电梯房 精装修,2,2,87,整租,1000,shangjie
急租和昌一室一厅 朝南 采光通风好看房方便 价格可谈 配套全,1,1,47,整租,650,shangjie
亚星江南小镇 2室2厅1卫 1300.0元 电梯房 精装修,2,2,117.9,整租,1300,shangjie
理想名城 3室2厅1卫 1100.0元 电梯房 ,3,2,111,整租,1100,shangjie
江南小镇23楼两室一厅，简装家具，家电齐全，月租900,2,1,70.7,整租,900,shangjie
锦尚新城 2室停车方便 750.0元 电梯房  98.0平米,2,2,98,整租,750,shangjie
华宸上院 3室2厅2卫 833.0元 电梯房 116.0平米,3,2,116,整租,833,shangjie
江南小镇五楼标间家具家电齐全，月租750,1,0,52,整租,750,shangjie
亚星福邸 2室2厅1卫 1200.0元 电梯房 精装修,2,2,87.2,整租,1200,shangjie
亚星江南小镇 2室2厅1卫 电梯房 配套齐全 精装修 双气,2,2,92,整租,1100,shangjie
和昌都汇广场 1室0厅1卫 700.0元 电梯房 精装修,1,0,42,整租,700,shangjie
江南小镇九楼两室两厅精装家具，家电齐全，月租900,2,2,108,整租,900,shangjie
亚星福邸 2室2厅1卫 1200.0元 电梯房 精装修,2,2,88.5,整租,1200,shangjie
中盟财富中心 1室0厅1卫 700.0元 电梯房,1,0,60,整租,700,shangjie
亚星江南小镇 3室2厅1卫 精装修 118平 配套齐全,3,2,115,整租,1300,shangjie
鸿盛新城四楼三室两厅简装家具，家电齐全，月租700,3,2,101,整租,800,shangjie
江南小镇电梯三室 家具家电齐全拎包入住 干净敞亮 价格可谈,3,2,118,整租,1250,shangjie
江南小镇朝南2室750拎包入住,2,2,88,整租,750,shangjie
可短租，价格好谈，寨沟新村2室，全配，拎包入住,2,2,92,整租,650,shangjie
亚星江南小镇 3室2厅2卫 电梯房 118平 配套齐全,3,2,118,整租,1000,shangjie
鸿盛新城 1室1厅1卫 700.0元 电梯房 41.0平米,1,1,41,整租,700,shangjie
森海正阳门 3室2厅1卫 1200.0元 电梯房 精装修,3,2,102,整租,1200,shangjie
豫翠园71平精装办公用,1,0,71,整租,900,shangjie
出租和昌电梯一室，停车方便，拎包入住,1,0,38,整租,600,shangjie
精装1室1厅拎包入住700,1,1,48,整租,700,shangjie
碧海花园二楼两室两厅简装家具，家电齐全，月租700,2,2,95,整租,700,shangjie
32街坊16楼一室一厅简装家具，家电齐全，直降200,1,1,67,整租,700,shangjie
德鸿现代城，7楼精装家具家电齐全，月租700,1,0,45,整租,700,shangjie
南峡窝新区130平 3室2厅1卫 精装修 配套齐全 电梯房,3,2,134,整租,1250,shangjie
江南小镇21楼标间家具家电齐全，月租直降200,1,0,45,整租,700,shangjie
理想名城 3室2厅1卫 1100.0元 电梯房,3,2,110,整租,1100,shangjie
急租鸿盛新城洋房电梯三室 干净敞亮 采光通风好 长租可谈价,3,2,113,整租,900,shangjie
亚星江南小镇 3室2厅1卫 100平 精装修 配套齐全,3,2,101,整租,1400,shangjie
理想名城 1室1厅1卫 49平 电梯房 精装修  带暖气,1,1,49,整租,800,shangjie
豫翠园(北区) 1室0厅1卫 750.0元 电梯房 ,1,0,49,整租,800,shangjie
豫翠园(南区) 2室2厅1卫 74平 配套齐全 精装修带暖气,2,2,74,整租,900,shangjie
中盟财富中心 1室0厅1卫 700.0元 电梯房,1,0,46.5,整租,700,shangjie
中盟财富中心 1室0厅1卫 700.0元 电梯房 精装修,1,0,50,整租,700,shangjie
亚星江南小镇 2室2厅1卫 900.0元 电梯房,2,2,84.3,整租,900,shangjie
龙吟世家 2室2厅1卫 电梯洋房 精装修 108平,2,2,100,整租,1000,shangjie
