园博园片区，郑州比亚迪，一梯一户。,3,2,116,整租,1800,hangkonggang
机场附近润丰悦尚  精装修拎包入住家具家电齐全,3,2,100,整租,1500,hangkonggang
和昌三期精装三房，第一次出租，拎包入住,3,2,100,整租,1400,hangkonggang
锦绣荷园精装二室二厅一卫1200包物业拎包入住,2,2,90,整租,1200,hangkonggang
正弘美林苑精装三房  家具家电齐全交通便利 1500包物业,3,2,89,整租,1500,hangkonggang
富士康旁 蔚来云成云园三室1700包物业 可短租 可短租,3,2,103,整租,1700,hangkonggang
正弘棠语苑 三室两厅一卫 家电齐全 临近太湖路小学 含物业费,3,2,88,整租,1400,hangkonggang
郑大一附院有暖气航头大厦富士康裕鸿公寓旁,3,1,20,合租,500,hangkonggang
永威二期 简装一室一厅 家具家电齐全 全屋地暖 交通便利,1,1,60,整租,1000,hangkonggang
公寓直租，豫康北特价600，押一付一，可短住，门口有公交车,1,0,38,整租,600,hangkonggang
麓林园三室两卫边户，全屋节能家电 婚房无甲醛四台大空调,3,2,117,整租,1500,hangkonggang
蔚来云成精装三室两厅一卫1600 边户 南北通透 拎包入住,3,2,102,整租,1600,hangkonggang
万科一期，定制装修1500 近地铁学校 一附院 丹尼斯,3,2,83,整租,1500,hangkonggang
南北通透三房 诚心出租,3,2,89,整租,1500,hangkonggang
安纳西庄园 3室2厅2卫 1700.0元 电梯房,3,2,115.6,整租,1700,hangkonggang
正弘棠语苑 三室 南北通透 全屋定制 家电随时可以配齐,3,2,105,整租,1400,hangkonggang
安纳西庄园精装三房，家具家电齐全拎包入住随时看房,3,2,99,整租,1600,hangkonggang
万科旁尚文苑 太湖路小学对面 精装三室拎包入住 家具齐全,3,2,89,整租,1400,hangkonggang
安纳西三室两厅一卫精装修，领包入住,3,2,93.9,整租,1500,hangkonggang
精装修，拎包入住，随时看房，周边配套齐全房屋很干净,2,2,93,整租,1500,hangkonggang
富士康厂区附近小区别墅次卧,4,2,25,合租,500,hangkonggang
正弘尚文苑 三室两厅一卫 家电齐全 拎包入住临近学校 公园,3,2,89,整租,1300,hangkonggang
蔚来云城云园，沃金附近，房东直租，免费暖气,3,2,14,合租,500,hangkonggang
永威三期 精装三室 家具家电齐全 兰河公园地铁口 全屋地暖,3,2,106,整租,1500,hangkonggang
第一次出租 双气 干净齐全 拎包入住 采光视野好,3,2,128,整租,1800,hangkonggang
白鹭源 3室2厅2卫 1600.0元 电梯房 130.0平米,3,2,130,整租,1600,hangkonggang
永威南樾瑞苑 3室2厅1卫 电梯房 89平 精装修,3,2,89,整租,1300,hangkonggang
豫康北公寓老板直租，低价700，大床房干净卫生,1,0,55,整租,700,hangkonggang
永威三期 精装三室 家具家电齐全 全屋地暖 锦荣广场交通便利,3,2,106,整租,1500,hangkonggang
新房首租，全新房源，家具家电齐全，可以拎包入住。,3,2,126,整租,1800,hangkonggang
航南新城普洛斯，家具家电齐全，拎包入住,1,1,60,整租,800,hangkonggang
安纳西庄园，精装三房，全屋定制，家电齐全，拎包入住，随时看房,3,2,97,整租,1600,hangkonggang
